parliament constituency,winning candidate,total votes,Margin
Kairana(2),IQRA CHOUDHARY,528013,69116
Muzaffarnagar(3),HARENDRA SINGH MALIK,470721,24672
Moradabad(6),RUCHI VIRA,637363,105762
Rampur(7),MOHIBBULLAH,481503,87434
Sambhal(8),ZIA UR REHMAN,571161,121494
Firozabad(20),AKSHAYA YADAV,543037,89312
Mainpuri(21),DIMPLE YADAV,598526,221639
Etah(22),DEVESH SHAKYA,475808,28052
Badaun(23),ADITYA YADAV,501855,34991
Aonla(24),NEERAJ MAURYA,492515,15969
Kheri(28),UTKARSH VERMA 'MADHUR',557365,34329
Dhaurahra(29),ANAND BHADAURIYA,443743,4449
Mohanlalganj(34),R.K. CHAUDHARY,667869,70292
Bijnor(4),CHANDAN CHAUHAN,404493,37508
Baghpat(11),DR RAJKUMAR SANGWAN,488967,159459
KANNIYAKUMARI(39),VIJAYAKUMAR (Alias) VIJAY VASANTH,546248,179907
Saharanpur(1),IMRAN MASOOD,547967,64542
Sitapur(30),RAKESH RATHOR,531138,89641
Rae Bareli(36),RAHUL GANDHI,687649,390030
Amethi(37),KISHORI LAL,539228,167196
Allahabad(52),UJJWAL RAMAN SINGH,462145,58795
Barabanki(53),TANUJ PUNIA,719927,215704
Maldaha Dakshin(8),ISHA KHAN CHOUDHURY,572395,128368
KORBA(4),JYOTSNA CHARANDAS MAHANT,570182,43283
RAJGARH(20),RODMAL NAGAR,758743,146089
DEWAS(21),MAHENDRA SINGH SOLANKY,928941,425225
UJJAIN(22),ANIL FIROJIYA,836104,375860
MANDSOUR(23),SUDHEER GUPTA,945761,500655
RATLAM(24),ANITA NAGARSINGH CHOUHAN,795863,207232
DHAR(25),SAVITRI THAKUR,794449,218665
INDORE(26),SHANKAR LALWANI,1226751,1175092
KHARGONE(27),GAJENDRA SINGH PATEL,819863,135018
KHANDWA(28),GYANESHWAR PATIL,862679,269971
BETUL(29),DURGADAS (D. D.) UIKEY,848236,379761
Jalgaon(3),SMITA UDAY WAGH,674428,251594
Raver(4),KHADSE RAKSHA NIKHIL,630879,272183
Akola(6),ANUP SANJAY DHOTRE,457030,40626
Nagpur(10),NITIN JAIRAM GADKARI,655027,137603
Sultanpur(38),RAMBHUAL NISHAD,444330,43174
Pratapgarh(39),SHIV PAL SINGH PATEL (DR. S P SINGH),441932,66206
Etawah(41),JITENDRA KUMAR DOHARE,490747,58419
Kannauj(42),AKHILESH YADAV,642292,170922
Jalaun(45),NARAYAN DAS AHIRWAR,530180,53898
Hamirpur(47),AJENDRA SINGH LODHI,490683,2629
Banda(48),KRISHNA DEVI SHIVSHANKER PATEL,406567,71210
Fatehpur(49),NARESH CHANDRA UTTAM PATEL,500328,33199
Kaushambi(50),PUSHPENDRA SAROJ,509787,103944
Faizabad(54),AWADHESH PRASAD,554289,54567
Ambedkar Nagar(55),LALJI VERMA,544959,137247
Khunti(11),KALI CHARAN MUNDA,511647,149675
Lohardaga(12),SUKHDEO BHAGAT,483038,139138
Peddapalle (2),VAMSI KRISHNA GADDAM,475587,131364
Zahirabad(5),SURESH KUMAR SHETKAR,528418,46188
Nagarkurnool(12),DR.MALLU RAVI,465072,94414
Nalgonda(13),KUNDURU RAGHUVEER,784337,559905
Bhongir (14),CHAMALA KIRAN KUMAR REDDY,629143,222170
Warangal(15),KADIYAM KAVYA,581294,220339
Mahabubabad  (16),BALRAM NAIK PORIKA,612774,349165
Khammam (17),RAMASAHAYAM RAGHURAM REDDY,766929,467847
Palghar(22),DR. HEMANT VISHNU SAVARA,601244,183306
Mumbai North(26),PIYUSH GOYAL,680146,357608
Pune(34),MURLIDHAR MOHOL,584728,123038
Satara(45),SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,571134,32771
Ratnagiri- Sindhudurg(46),NARAYAN TATU RANE,448514,47858
Bargarh(1),PRADEEP PUROHIT,716359,251667
Sundargarh(2),JUAL ORAM,494282,138808
Sambalpur(3),DHARMENDRA PRADHAN,592162,119836
Keonjhar(4),ANANTA NAYAK,573923,97042
Mayurbhanj(5),NABA CHARAN MAJHI,585971,219334
Balasore(6),PRATAP CHANDRA SARANGI,563865,147156
Bhadrak(7),AVIMANYU SETHI,573319,91544
Jajpur(8),RABINDRA NARAYAN BEHERA,534239,1587
Dhenkanal(9),RUDRA NARAYAN PANY,598721,76567
Shrawasti(58),RAM SHIROMANI VERMA,511055,76673
Basti(61),RAM PRASAD CHAUDHARY,527005,100994
Sant Kabir Nagar(62),LAXMIKANT PAPPU NISHAD,498695,92170
Lalganj(68),DAROGA PRASAD SAROJ,439959,115023
Azamgarh(69),DHARMENDRA YADAV,508239,161035
Ghosi(70),RAJEEV RAI,503131,162943
Salempur(71),RAMASHANKAR RAJBHAR,405472,3573
Ballia(72),SANATAN PANDEY,467068,43384
Jaunpur(73),BABU SINGH KUSHWAHA,509130,99335
Machhlishahr(74),PRIYA SAROJ,451292,35850
Chandigarh(1),MANISH TEWARI,216657,2504
Lakshadweep(1),MUHAMMED HAMDULLAH SAYEED,25726,2647
PUDUCHERRY(1),VE VAITHILINGAM,426005,136516
Bolangir(10),SANGEETA KUMARI SINGH DEO,617744,132664
Kalahandi(11),MALVIKA DEVI,544303,133813
Nabarangpur(12),BALABHADRA MAJHI,481396,87536
Kandhamal(13),SUKANTA KUMAR PANIGRAHI,416415,21371
Cuttack(14),BHARTRUHARI MAHTAB,531601,57077
Kendrapara(15),BAIJAYANT PANDA,615705,66536
Jagatsinghpur(16),BIBHU PRASAD TARAI,589093,40696
Puri(17),SAMBIT PATRA,629330,104709
Bhubaneswar(18),APARAJITA SARANGI,512519,35152
Aska(19),ANITA SUBHADARSHINI,494226,99974
Berhampur(20),DR. PRADEEP KUMAR PANIGRAHY,513102,165476
BIKANER (2),ARJUN RAM MEGHWAL,566737,55711
JAIPUR RURAL(6),RAO RAJENDRA SINGH,617877,1615
JAIPUR(7),MANJU SHARMA,886850,331767
ALWAR(8),BHUPENDER YADAV,631992,48282
Ghazipur(75),AFZAL ANSARI,539912,124861
Chandauli(76),BIRENDRA SINGH,474476,21565
Robertsganj(80),CHHOTELAL,465848,129234
AJMER (13),BHAGIRATH CHOUDHARY,747462,329991
PALI(15),P. P. CHAUDHARY,757389,245351
JODHPUR(16),GAJENDRA SINGH SHEKHAWAT,730056,115677
JALORE (18),LUMBARAM,796783,201543
UDAIPUR (19),MANNA LAL RAWAT,738286,261608
CHITTORGARH(21),CHANDRA PRAKASH JOSHI,888202,389877
RAJSAMAND(22),MAHIMA KUMARI MEWAR,781203,392223
BHILWARA(23),DAMODAR AGARWAL,807640,354606
KOTA(24),OM BIRLA,750496,41974
JHALAWAR-BARAN(25),DUSHYANT SINGH,865376,370989
Tripura West(1),BIPLAB KUMAR DEB,881341,611578
Tripura East(2),KRITI DEVI DEBBARMAN,777447,486819
